9,496,288,1.7222222222222223,19.79,6.6,48.67,3.825,12,585,384,1.5234375,15.1,12.76,61.92,3.591666666666667,2
12,391,384,1.0182291666666667,20.05,23.18,93.33,2.553333333333333,9,348,288,1.2083333333333333,22.92,14.58,80.0,3.007000000000001,0
14,519,448,1.1584821428571428,14.96,22.77,84.79,3.232,17,795,544,1.4613970588235294,22.79,11.95,65.29,3.9244444444444446,1
11,698,352,1.9829545454545452,19.03,3.98,33.73,4.927499999999999,13,639,416,1.5360576923076923,16.83,10.82,60.08,3.845,2
9,348,288,1.2083333333333333,22.92,14.58,80.0,3.007000000000001,11,627,352,1.78125,15.34,7.95,45.82,4.1825,1
11,515,352,1.463068181818182,17.9,12.78,64.09,4.26,13,594,416,1.4278846153846154,23.8,11.06,66.77,3.597777777777777,1
13,863,416,2.074519230769231,15.38,4.09,26.23,5.06125,9,348,288,1.2083333333333333,22.92,14.58,80.0,3.007000000000001,2
13,639,416,1.5360576923076923,16.83,10.82,60.08,3.845,17,795,544,1.4613970588235294,22.79,11.95,65.29,3.9244444444444446,2
15,909,480,1.89375,17.71,5.83,38.07,4.065714285714285,12,550,384,1.4322916666666667,11.46,25.0,67.33,3.444,2
12,832,384,2.1666666666666665,10.68,5.73,20.33,5.412857142857143,14,519,448,1.1584821428571428,14.96,22.77,84.79,3.232,2
11,698,352,1.9829545454545452,19.03,3.98,33.73,4.927499999999999,12,439,384,1.1432291666666667,19.53,19.53,85.42,2.907142857142857,2
12,509,384,1.3255208333333333,16.41,13.54,72.92,3.6722222222222234,11,573,352,1.6278409090909092,15.06,11.93,54.27,4.17,1
12,585,384,1.5234375,15.1,12.76,61.92,3.591666666666667,11,663,352,1.8835227272727275,20.17,4.55,38.45,4.588571428571429,1
11,698,352,1.9829545454545452,19.03,3.98,33.73,4.927499999999999,14,857,448,1.9129464285714288,18.97,6.03,36.64,4.562727272727273,2
15,771,480,1.60625,13.54,14.17,55.33,4.2,11,698,352,1.9829545454545452,19.03,3.98,33.73,4.927499999999999,1
